{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':0 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':20 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':40 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':60 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':80 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':100 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':120 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':140 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':160 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':180 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
{ 'serverType':'odroid', 'speed':[ { 'name':'speed','value':200 } ], 'temperatures':[  { 'name': 'motor','value':56 },  {'name': 'battery','value':78} ], 'position':[127,46], 'brakes':[ { 'name':'brakes_left','status':0,'pressure':257 }, { 'name':'brakes_right','status':0,'pressure':257 } ], 'battery':[ { 'name':'battery_1','value':67 }, { 'name':'battery_2','value':64 } ] } 
